# BRD-030 three-way comparison. Generated by compare.py; do not edit.
case	quantity	family	class	kerotakis	kerotakis_status	feos	feos_status	referee	referee_status	referee_source	feos_gross2002	adapter	dev_kero_vs_feos	dev_feos_vs_referee	dev_kero_vs_referee
acetone	pcrit_kpa	vle	coverage-gap		unavailable	5682.36	ok	4692.4	ok	chemicals.Pc (experimental)				0.174216	
acetone	tboil_c	vle	agree	56.174	ok	56.0998	ok	56.0749	ok	chemicals.Tb (experimental normal boiling point)			0.0741842	0.0248981	0.0990824
acetone	tcrit_k	vle	coverage-gap		unavailable	520.939	ok	508.1	ok	chemicals.Tc (experimental)				0.024646	
acetone-chloroform@flash	vapour_fraction	vle	coverage-gap		unavailable		unavailable		-						
acetone-chloroform@x1=0.1	tbub_c	vle	coverage-gap		unavailable	61.9992	ok	62.453	ok	oracle-unifac-corr				0.453761	
acetone-chloroform@x1=0.1	y1	vle	coverage-gap		unavailable	0.0709874	ok	0.0677707	ok	oracle-unifac-corr				0.00321668	
acetone-chloroform@x1=0.3	tbub_c	vle	coverage-gap		unavailable	63.825	ok	64.2782	ok	oracle-unifac-corr				0.453149	
acetone-chloroform@x1=0.3	y1	vle	coverage-gap		unavailable	0.265144	ok	0.276637	ok	oracle-unifac-corr				0.011493	
acetone-chloroform@x1=0.5	tbub_c	vle	coverage-gap		unavailable	64.1427	ok	63.9083	ok	oracle-unifac-corr				0.234394	
acetone-chloroform@x1=0.5	y1	vle	coverage-gap		unavailable	0.524598	ok	0.54942	ok	oracle-unifac-corr				0.0248228	
acetone-chloroform@x1=0.7	tbub_c	vle	coverage-gap		unavailable	62.0405	ok	61.3478	ok	oracle-unifac-corr				0.692696	
acetone-chloroform@x1=0.7	y1	vle	coverage-gap		unavailable	0.781557	ok	0.790877	ok	oracle-unifac-corr				0.00932031	
acetone-chloroform@x1=0.9	tbub_c	vle	coverage-gap		unavailable	58.1317	ok	57.8196	ok	oracle-unifac-corr				0.312131	
acetone-chloroform@x1=0.9	y1	vle	coverage-gap		unavailable	0.953029	ok	0.949647	ok	oracle-unifac-corr				0.00338184	
acetone-ethanoic-acid@flash	vapour_fraction	vle	single-phase-refusal	0	ok		unavailable		-						
acetone-ethanoic-acid@x1=0.1	tbub_c	vle	agree	104.906	ok	105.025	ok	104.906	ok	oracle-unifac-kero		105.025	0.119275	0.119275	0
acetone-ethanoic-acid@x1=0.1	y1	vle	feos-difference	0.404942	ok	0.381713	ok	0.404942	ok	oracle-unifac-kero			0.0232284	0.0232284	0
acetone-ethanoic-acid@x1=0.3	tbub_c	vle	feos-difference	85.9818	ok	88.3784	ok	85.9818	ok	oracle-unifac-kero		88.3784	2.39668	2.39668	0
acetone-ethanoic-acid@x1=0.3	y1	vle	feos-difference	0.765322	ok	0.728769	ok	0.765322	ok	oracle-unifac-kero			0.0365532	0.0365532	0
acetone-ethanoic-acid@x1=0.5	tbub_c	vle	feos-difference	73.215	ok	76.0022	ok	73.215	ok	oracle-unifac-kero		76.0022	2.78721	2.78721	0
acetone-ethanoic-acid@x1=0.5	y1	vle	agree	0.900553	ok	0.881861	ok	0.900553	ok	oracle-unifac-kero			0.0186918	0.0186918	0
acetone-ethanoic-acid@x1=0.7	tbub_c	vle	feos-difference	64.4734	ok	66.3746	ok	64.4734	ok	oracle-unifac-kero		66.3746	1.90121	1.90121	0
acetone-ethanoic-acid@x1=0.7	y1	vle	agree	0.958954	ok	0.954925	ok	0.958954	ok	oracle-unifac-kero			0.004029	0.004029	0
acetone-ethanoic-acid@x1=0.9	tbub_c	vle	agree	58.5899	ok	59.0471	ok	58.5899	ok	oracle-unifac-kero		59.0471	0.457211	0.457211	0
acetone-ethanoic-acid@x1=0.9	y1	vle	agree	0.988019	ok	0.98994	ok	0.988019	ok	oracle-unifac-kero			0.00192058	0.00192058	0
acetone-ethanol@flash	vapour_fraction	vle	single-phase-refusal	1	ok		unavailable		-						
acetone-ethanol@x1=0.1	tbub_c	vle	feos-difference	71.956	ok	72.9984	ok	71.956	ok	oracle-unifac-kero		72.9984	1.0424	1.0424	0
acetone-ethanol@x1=0.1	y1	vle	feos-difference	0.29948	ok	0.265206	ok	0.29948	ok	oracle-unifac-kero			0.0342737	0.0342737	0
acetone-ethanol@x1=0.3	tbub_c	vle	feos-difference	64.8024	ok	66.0369	ok	64.8024	ok	oracle-unifac-kero		66.0369	1.23451	1.23451	0
acetone-ethanol@x1=0.3	y1	vle	agree	0.572695	ok	0.553777	ok	0.572695	ok	oracle-unifac-kero			0.0189181	0.0189181	0
acetone-ethanol@x1=0.5	tbub_c	vle	agree	61.0164	ok	61.6351	ok	61.0164	ok	oracle-unifac-kero		61.6351	0.618758	0.618758	0
acetone-ethanol@x1=0.5	y1	vle	agree	0.708458	ok	0.714073	ok	0.708458	ok	oracle-unifac-kero			0.00561447	0.00561447	0
acetone-ethanol@x1=0.7	tbub_c	vle	agree	58.5625	ok	58.6781	ok	58.5625	ok	oracle-unifac-kero		58.6781	0.11558	0.11558	0
acetone-ethanol@x1=0.7	y1	vle	agree	0.812125	ok	0.825471	ok	0.812125	ok	oracle-unifac-kero			0.0133459	0.0133459	0
