engine	case	quantity	status	value	note
kerotakis	water@25C	psat_kpa	ok	3.1579067938e0	Antoine constants for water (1-100 °C): Stull, D.R., Ind. Eng. Chem. 39(4), 517-540 (1947), Table I. Published as log10(P/mmHg) = 8.07131 - 1730.63/(T/°C + 233.426); `a` carries the kPa conversion: 8.07131 - log10(760/101.325) = 7.19621. Gives 101.34 kPa at 100 °C (lit. 100.0 °C at 1 atm)
kerotakis	water@25C	rho_liq_mol_m3	unavailable		kerotakis-thermo has no liquid-density model
kerotakis	water@25C	dhvap_kj_mol	unavailable		kerotakis-thermo has no enthalpy model for pure fluids
kerotakis	water@50C	psat_kpa	ok	1.2305554109e1	Antoine constants for water (1-100 °C): Stull, D.R., Ind. Eng. Chem. 39(4), 517-540 (1947), Table I. Published as log10(P/mmHg) = 8.07131 - 1730.63/(T/°C + 233.426); `a` carries the kPa conversion: 8.07131 - log10(760/101.325) = 7.19621. Gives 101.34 kPa at 100 °C (lit. 100.0 °C at 1 atm)
kerotakis	water@50C	rho_liq_mol_m3	unavailable		kerotakis-thermo has no liquid-density model
kerotakis	water@50C	dhvap_kj_mol	unavailable		kerotakis-thermo has no enthalpy model for pure fluids
kerotakis	water@75C	psat_kpa	ok	3.8462926882e1	Antoine constants for water (1-100 °C): Stull, D.R., Ind. Eng. Chem. 39(4), 517-540 (1947), Table I. Published as log10(P/mmHg) = 8.07131 - 1730.63/(T/°C + 233.426); `a` carries the kPa conversion: 8.07131 - log10(760/101.325) = 7.19621. Gives 101.34 kPa at 100 °C (lit. 100.0 °C at 1 atm)
kerotakis	water@75C	rho_liq_mol_m3	unavailable		kerotakis-thermo has no liquid-density model
kerotakis	water@75C	dhvap_kj_mol	unavailable		kerotakis-thermo has no enthalpy model for pure fluids
kerotakis	water@100C	psat_kpa	ok	1.0133581024e2	Antoine constants for water (1-100 °C): Stull, D.R., Ind. Eng. Chem. 39(4), 517-540 (1947), Table I. Published as log10(P/mmHg) = 8.07131 - 1730.63/(T/°C + 233.426); `a` carries the kPa conversion: 8.07131 - log10(760/101.325) = 7.19621. Gives 101.34 kPa at 100 °C (lit. 100.0 °C at 1 atm)
kerotakis	water@100C	rho_liq_mol_m3	unavailable		kerotakis-thermo has no liquid-density model
kerotakis	water@100C	dhvap_kj_mol	unavailable		kerotakis-thermo has no enthalpy model for pure fluids
kerotakis	water	tboil_c	ok	9.9997023742e1	Antoine constants for water (1-100 °C): Stull, D.R., Ind. Eng. Chem. 39(4), 517-540 (1947), Table I. Published as log10(P/mmHg) = 8.07131 - 1730.63/(T/°C + 233.426); `a` carries the kPa conversion: 8.07131 - log10(760/101.325) = 7.19621. Gives 101.34 kPa at 100 °C (lit. 100.0 °C at 1 atm)
kerotakis	water	tcrit_k	unavailable		kerotakis-thermo curates critical properties for 3 fluids only (eos.rs)
kerotakis	water	pcrit_kpa	unavailable		kerotakis-thermo curates critical properties for 3 fluids only (eos.rs)
feos-pcsaft	water@25C	psat_kpa	ok	3.1859862465e0	esper2023
feos-pcsaft	water@25C	rho_liq_mol_m3	ok	5.7245669534e4	esper2023
feos-pcsaft	water@25C	dhvap_kj_mol	ok	4.3422543345e1	esper2023
feos-pcsaft	water@50C	psat_kpa	ok	1.2279077189e1	esper2023
feos-pcsaft	water@50C	rho_liq_mol_m3	ok	5.6005083004e4	esper2023
feos-pcsaft	water@50C	dhvap_kj_mol	ok	4.2438949565e1	esper2023
feos-pcsaft	water@75C	psat_kpa	ok	3.8205806491e1	esper2023
feos-pcsaft	water@75C	rho_liq_mol_m3	ok	5.4755635283e4	esper2023
feos-pcsaft	water@75C	dhvap_kj_mol	ok	4.1400739437e1	esper2023
feos-pcsaft	water@100C	psat_kpa	ok	1.0046191254e2	esper2023
feos-pcsaft	water@100C	rho_liq_mol_m3	ok	5.3476954297e4	esper2023
feos-pcsaft	water@100C	dhvap_kj_mol	ok	4.0289275181e1	esper2023
feos-pcsaft	water	tboil_c	ok	1.0023919081e2	esper2023
feos-pcsaft	water	tcrit_k	ok	6.7793765995e2	esper2023
feos-pcsaft	water	pcrit_kpa	ok	3.0213398571e4	esper2023
feos-pcsaft-gross2002	water@25C	psat_kpa	ok	3.3115299445e0	gross2002
feos-pcsaft-gross2002	water@25C	rho_liq_mol_m3	ok	5.1177825654e4	gross2002
feos-pcsaft-gross2002	water@25C	dhvap_kj_mol	ok	4.2710974008e1	gross2002
feos-pcsaft-gross2002	water@50C	psat_kpa	ok	1.2521045284e1	gross2002
feos-pcsaft-gross2002	water@50C	rho_liq_mol_m3	ok	5.0376956506e4	gross2002
feos-pcsaft-gross2002	water@50C	dhvap_kj_mol	ok	4.2065676282e1	gross2002
feos-pcsaft-gross2002	water@75C	psat_kpa	ok	3.8565891886e1	gross2002
feos-pcsaft-gross2002	water@75C	rho_liq_mol_m3	ok	4.9573509046e4	gross2002
feos-pcsaft-gross2002	water@75C	dhvap_kj_mol	ok	4.1324591203e1	gross2002
feos-pcsaft-gross2002	water@100C	psat_kpa	ok	1.0089027302e2	gross2002
feos-pcsaft-gross2002	water@100C	rho_liq_mol_m3	ok	4.8755509564e4	gross2002
feos-pcsaft-gross2002	water@100C	dhvap_kj_mol	ok	4.0485022372e1	gross2002
kerotakis	methanol@25C	psat_kpa	ok	1.6945564109e1	Antoine constants for methanol (15-84 °C): Stull, D.R., Ind. Eng. Chem. 39(4), 517-540 (1947), Table I. Published as log10(P/mmHg) = 8.08097 - 1582.271/(T/°C + 239.726); `a` carries the kPa conversion: 8.08097 - log10(760/101.325) = 7.20607. Gives 102.3 kPa at 64.7 °C (lit. 64.7 °C at 1 atm)
kerotakis	methanol@25C	rho_liq_mol_m3	unavailable		kerotakis-thermo has no liquid-density model
kerotakis	methanol@25C	dhvap_kj_mol	unavailable		kerotakis-thermo has no enthalpy model for pure fluids
kerotakis	methanol@40C	psat_kpa	ok	3.5445968769e1	Antoine constants for methanol (15-84 °C): Stull, D.R., Ind. Eng. Chem. 39(4), 517-540 (1947), Table I. Published as log10(P/mmHg) = 8.08097 - 1582.271/(T/°C + 239.726); `a` carries the kPa conversion: 8.08097 - log10(760/101.325) = 7.20607. Gives 102.3 kPa at 64.7 °C (lit. 64.7 °C at 1 atm)
kerotakis	methanol@40C	rho_liq_mol_m3	unavailable		kerotakis-thermo has no liquid-density model
kerotakis	methanol@40C	dhvap_kj_mol	unavailable		kerotakis-thermo has no enthalpy model for pure fluids
kerotakis	methanol@64.7C	psat_kpa	ok	1.0197990444e2	Antoine constants for methanol (15-84 °C): Stull, D.R., Ind. Eng. Chem. 39(4), 517-540 (1947), Table I. Published as log10(P/mmHg) = 8.08097 - 1582.271/(T/°C + 239.726); `a` carries the kPa conversion: 8.08097 - log10(760/101.325) = 7.20607. Gives 102.3 kPa at 64.7 °C (lit. 64.7 °C at 1 atm)
kerotakis	methanol@64.7C	rho_liq_mol_m3	unavailable		kerotakis-thermo has no liquid-density model
kerotakis	methanol@64.7C	dhvap_kj_mol	unavailable		kerotakis-thermo has no enthalpy model for pure fluids
kerotakis	methanol	tboil_c	ok	6.4536207214e1	Antoine constants for methanol (15-84 °C): Stull, D.R., Ind. Eng. Chem. 39(4), 517-540 (1947), Table I. Published as log10(P/mmHg) = 8.08097 - 1582.271/(T/°C + 239.726); `a` carries the kPa conversion: 8.08097 - log10(760/101.325) = 7.20607. Gives 102.3 kPa at 64.7 °C (lit. 64.7 °C at 1 atm)
kerotakis	methanol	tcrit_k	unavailable		kerotakis-thermo curates critical properties for 3 fluids only (eos.rs)
kerotakis	methanol	pcrit_kpa	unavailable		kerotakis-thermo curates critical properties for 3 fluids only (eos.rs)
feos-pcsaft	methanol@25C	psat_kpa	ok	1.6809373997e1	esper2023
feos-pcsaft	methanol@25C	rho_liq_mol_m3	ok	2.4657129677e4	esper2023
feos-pcsaft	methanol@25C	dhvap_kj_mol	ok	3.7170609417e1	esper2023
feos-pcsaft	methanol@40C	psat_kpa	ok	3.5175244777e1	esper2023
feos-pcsaft	methanol@40C	rho_liq_mol_m3	ok	2.4216988731e4	esper2023
feos-pcsaft	methanol@40C	dhvap_kj_mol	ok	3.6365097991e1	esper2023
feos-pcsaft	methanol@64.7C	psat_kpa	ok	1.0143065576e2	esper2023
feos-pcsaft	methanol@64.7C	rho_liq_mol_m3	ok	2.3453470361e4	esper2023
feos-pcsaft	methanol@64.7C	dhvap_kj_mol	ok	3.4884038112e1	esper2023
feos-pcsaft	methanol	tboil_c	ok	6.4673555160e1	esper2023
feos-pcsaft	methanol	tcrit_k	ok	5.3617148351e2	esper2023
feos-pcsaft	methanol	pcrit_kpa	ok	1.0992089708e4	esper2023
feos-pcsaft-gross2002	methanol@25C	psat_kpa	ok	1.6406883481e1	gross2002
feos-pcsaft-gross2002	methanol@25C	rho_liq_mol_m3	ok	2.4672790150e4	gross2002
feos-pcsaft-gross2002	methanol@25C	dhvap_kj_mol	ok	3.5268023003e1	gross2002
feos-pcsaft-gross2002	methanol@40C	psat_kpa	ok	3.4204257490e1	gross2002
feos-pcsaft-gross2002	methanol@40C	rho_liq_mol_m3	ok	2.4254743816e4	gross2002
feos-pcsaft-gross2002	methanol@40C	dhvap_kj_mol	ok	3.4433400755e1	gross2002
feos-pcsaft-gross2002	methanol@64.7C	psat_kpa	ok	9.8764490237e1	gross2002
feos-pcsaft-gross2002	methanol@64.7C	rho_liq_mol_m3	ok	2.3523733421e4	gross2002
feos-pcsaft-gross2002	methanol@64.7C	dhvap_kj_mol	ok	3.2910005061e1	gross2002
kerotakis	ethanol@25C	psat_kpa	ok	7.8331215343e0	Antoine constants for ethanol (-57 to 80 °C): Stull, D.R., Ind. Eng. Chem. 39(4), 517-540 (1947), Table I. Published as log10(P/mmHg) = 8.20417 - 1642.89/(T/°C + 230.300); `a` carries the kPa conversion: 8.20417 - log10(760/101.325) = 7.32907. Gives 101.65 kPa at 78.4 °C (lit. 78.37 °C at 1 atm)
kerotakis	ethanol@25C	rho_liq_mol_m3	unavailable		kerotakis-thermo has no liquid-density model
kerotakis	ethanol@25C	dhvap_kj_mol	unavailable		kerotakis-thermo has no enthalpy model for pure fluids
kerotakis	ethanol@50C	psat_kpa	ok	2.9368756248e1	Antoine constants for ethanol (-57 to 80 °C): Stull, D.R., Ind. Eng. Chem. 39(4), 517-540 (1947), Table I. Published as log10(P/mmHg) = 8.20417 - 1642.89/(T/°C + 230.300); `a` carries the kPa conversion: 8.20417 - log10(760/101.325) = 7.32907. Gives 101.65 kPa at 78.4 °C (lit. 78.37 °C at 1 atm)
kerotakis	ethanol@50C	rho_liq_mol_m3	unavailable		kerotakis-thermo has no liquid-density model
kerotakis	ethanol@50C	dhvap_kj_mol	unavailable		kerotakis-thermo has no enthalpy model for pure fluids
kerotakis	ethanol@78.4C	psat_kpa	ok	1.0164989376e2	Antoine constants for ethanol (-57 to 80 °C): Stull, D.R., Ind. Eng. Chem. 39(4), 517-540 (1947), Table I. Published as log10(P/mmHg) = 8.20417 - 1642.89/(T/°C + 230.300); `a` carries the kPa conversion: 8.20417 - log10(760/101.325) = 7.32907. Gives 101.65 kPa at 78.4 °C (lit. 78.37 °C at 1 atm)
kerotakis	ethanol@78.4C	rho_liq_mol_m3	unavailable		kerotakis-thermo has no liquid-density model
kerotakis	ethanol@78.4C	dhvap_kj_mol	unavailable		kerotakis-thermo has no enthalpy model for pure fluids
kerotakis	ethanol	tboil_c	ok	7.8319375868e1	Antoine constants for ethanol (-57 to 80 °C): Stull, D.R., Ind. Eng. Chem. 39(4), 517-540 (1947), Table I. Published as log10(P/mmHg) = 8.20417 - 1642.89/(T/°C + 230.300); `a` carries the kPa conversion: 8.20417 - log10(760/101.325) = 7.32907. Gives 101.65 kPa at 78.4 °C (lit. 78.37 °C at 1 atm)
kerotakis	ethanol	tcrit_k	unavailable		kerotakis-thermo curates critical properties for 3 fluids only (eos.rs)
kerotakis	ethanol	pcrit_kpa	unavailable		kerotakis-thermo curates critical properties for 3 fluids only (eos.rs)
feos-pcsaft	ethanol@25C	psat_kpa	ok	7.8819455186e0	esper2023
feos-pcsaft	ethanol@25C	rho_liq_mol_m3	ok	1.7122711621e4	esper2023
feos-pcsaft	ethanol@25C	dhvap_kj_mol	ok	4.2287294255e1	esper2023
feos-pcsaft	ethanol@50C	psat_kpa	ok	2.9464083303e1	esper2023
feos-pcsaft	ethanol@50C	rho_liq_mol_m3	ok	1.6615352762e4	esper2023
feos-pcsaft	ethanol@50C	dhvap_kj_mol	ok	4.0712873883e1	esper2023
feos-pcsaft	ethanol@78.4C	psat_kpa	ok	1.0132713138e2	esper2023
feos-pcsaft	ethanol@78.4C	rho_liq_mol_m3	ok	1.5993971358e4	esper2023
feos-pcsaft	ethanol@78.4C	dhvap_kj_mol	ok	3.8662322427e1	esper2023
feos-pcsaft	ethanol	tboil_c	ok	7.8399465709e1	esper2023
feos-pcsaft	ethanol	tcrit_k	ok	5.3151641130e2	esper2023
feos-pcsaft	ethanol	pcrit_kpa	ok	8.2035014141e3	esper2023
feos-pcsaft-gross2002	ethanol@25C	psat_kpa	ok	7.9725504029e0	gross2002
feos-pcsaft-gross2002	ethanol@25C	rho_liq_mol_m3	ok	1.6924667725e4	gross2002
feos-pcsaft-gross2002	ethanol@25C	dhvap_kj_mol	ok	4.1712785214e1	gross2002
feos-pcsaft-gross2002	ethanol@50C	psat_kpa	ok	2.9496088122e1	gross2002
feos-pcsaft-gross2002	ethanol@50C	rho_liq_mol_m3	ok	1.6451809144e4	gross2002
feos-pcsaft-gross2002	ethanol@50C	dhvap_kj_mol	ok	4.0239820016e1	gross2002
feos-pcsaft-gross2002	ethanol@78.4C	psat_kpa	ok	1.0088674576e2	gross2002
feos-pcsaft-gross2002	ethanol@78.4C	rho_liq_mol_m3	ok	1.5871332482e4	gross2002
feos-pcsaft-gross2002	ethanol@78.4C	dhvap_kj_mol	ok	3.8284976548e1	gross2002
kerotakis	propan-1-ol@25C	psat_kpa	unavailable		no Antoine constants curated in kerotakis-thermo
kerotakis	propan-1-ol@25C	rho_liq_mol_m3	unavailable		kerotakis-thermo has no liquid-density model
kerotakis	propan-1-ol@25C	dhvap_kj_mol	unavailable		kerotakis-thermo has no enthalpy model for pure fluids
kerotakis	propan-1-ol@60C	psat_kpa	unavailable		no Antoine constants curated in kerotakis-thermo
kerotakis	propan-1-ol@60C	rho_liq_mol_m3	unavailable		kerotakis-thermo has no liquid-density model
kerotakis	propan-1-ol@60C	dhvap_kj_mol	unavailable		kerotakis-thermo has no enthalpy model for pure fluids
kerotakis	propan-1-ol@97C	psat_kpa	unavailable		no Antoine constants curated in kerotakis-thermo
kerotakis	propan-1-ol@97C	rho_liq_mol_m3	unavailable		kerotakis-thermo has no liquid-density model
kerotakis	propan-1-ol@97C	dhvap_kj_mol	unavailable		kerotakis-thermo has no enthalpy model for pure fluids
kerotakis	propan-1-ol	tboil_c	unavailable		no Antoine constants curated in kerotakis-thermo
kerotakis	propan-1-ol	tcrit_k	unavailable		kerotakis-thermo curates critical properties for 3 fluids only (eos.rs)
kerotakis	propan-1-ol	pcrit_kpa	unavailable		kerotakis-thermo curates critical properties for 3 fluids only (eos.rs)
feos-pcsaft	propan-1-ol@25C	psat_kpa	ok	2.7878222506e0	esper2023
feos-pcsaft	propan-1-ol@25C	rho_liq_mol_m3	ok	1.3309947059e4	esper2023
feos-pcsaft	propan-1-ol@25C	dhvap_kj_mol	ok	4.8312241952e1	esper2023
feos-pcsaft	propan-1-ol@60C	psat_kpa	ok	2.0436560079e1	esper2023
feos-pcsaft	propan-1-ol@60C	rho_liq_mol_m3	ok	1.2784268071e4	esper2023
feos-pcsaft	propan-1-ol@60C	dhvap_kj_mol	ok	4.5194374792e1	esper2023
feos-pcsaft	propan-1-ol@97C	psat_kpa	ok	1.0061651042e2	esper2023
feos-pcsaft	propan-1-ol@97C	rho_liq_mol_m3	ok	1.2177328622e4	esper2023
feos-pcsaft	propan-1-ol@97C	dhvap_kj_mol	ok	4.1649925155e1	esper2023
feos-pcsaft	propan-1-ol	tboil_c	ok	9.7187023793e1	esper2023
feos-pcsaft	propan-1-ol	tcrit_k	ok	5.5250878096e2	esper2023
feos-pcsaft	propan-1-ol	pcrit_kpa	ok	6.7599512816e3	esper2023
feos-pcsaft-gross2002	propan-1-ol@25C	psat_kpa	ok	2.7581258971e0	gross2002
feos-pcsaft-gross2002	propan-1-ol@25C	rho_liq_mol_m3	ok	1.3096550878e4	gross2002
feos-pcsaft-gross2002	propan-1-ol@25C	dhvap_kj_mol	ok	4.8491918034e1	gross2002
feos-pcsaft-gross2002	propan-1-ol@60C	psat_kpa	ok	2.0405074462e1	gross2002
feos-pcsaft-gross2002	propan-1-ol@60C	rho_liq_mol_m3	ok	1.2608263680e4	gross2002
feos-pcsaft-gross2002	propan-1-ol@60C	dhvap_kj_mol	ok	4.5414863779e1	gross2002
feos-pcsaft-gross2002	propan-1-ol@97C	psat_kpa	ok	1.0117487072e2	gross2002
feos-pcsaft-gross2002	propan-1-ol@97C	rho_liq_mol_m3	ok	1.2040363507e4	gross2002
feos-pcsaft-gross2002	propan-1-ol@97C	dhvap_kj_mol	ok	4.1801499649e1	gross2002
kerotakis	propan-2-ol@25C	psat_kpa	unavailable		outside fitted Antoine range 56.8..89.3 C
kerotakis	propan-2-ol@25C	rho_liq_mol_m3	unavailable		kerotakis-thermo has no liquid-density model
kerotakis	propan-2-ol@25C	dhvap_kj_mol	unavailable		kerotakis-thermo has no enthalpy model for pure fluids
kerotakis	propan-2-ol@60C	psat_kpa	ok	3.8554872724e1	NIST Chemistry WebBook, SRD 69, isopropyl alcohol Antoine equation: Stull, D.R., Ind. Eng. Chem. 39, 517-540 (1947), 329.92-362.41 K; converted from log10(P/bar) = 4.8610 - 1357.427/(T/K - 75.814) to kPa and Celsius
kerotakis	propan-2-ol@60C	rho_liq_mol_m3	unavailable		kerotakis-thermo has no liquid-density model
kerotakis	propan-2-ol@60C	dhvap_kj_mol	unavailable		kerotakis-thermo has no enthalpy model for pure fluids
kerotakis	propan-2-ol@82.4C	psat_kpa	ok	1.0196971069e2	NIST Chemistry WebBook, SRD 69, isopropyl alcohol Antoine equation: Stull, D.R., Ind. Eng. Chem. 39, 517-540 (1947), 329.92-362.41 K; converted from log10(P/bar) = 4.8610 - 1357.427/(T/K - 75.814) to kPa and Celsius
kerotakis	propan-2-ol@82.4C	rho_liq_mol_m3	unavailable		kerotakis-thermo has no liquid-density model
