engine	case	quantity	status	value	note
oracle-corr	water@25.0C	psat_kpa	ok	3.1699293389e+00	thermo.VaporPressure method=IAPWS_PSAT
oracle-corr	water@25.0C	rho_liq_mol_m3	ok	5.5344575602e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	water@25.0C	dhvap_kj_mol	ok	4.3987446056e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	water@50.0C	psat_kpa	ok	1.2351945838e+01	thermo.VaporPressure method=IAPWS_PSAT
oracle-corr	water@50.0C	rho_liq_mol_m3	ok	5.4844298503e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	water@50.0C	dhvap_kj_mol	ok	4.2911418734e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	water@75.0C	psat_kpa	ok	3.8595395847e+01	thermo.VaporPressure method=IAPWS_PSAT
oracle-corr	water@75.0C	rho_liq_mol_m3	ok	5.4112067412e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	water@75.0C	dhvap_kj_mol	ok	4.1805736899e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	water@100.0C	psat_kpa	ok	1.0141799666e+02	thermo.VaporPressure method=IAPWS_PSAT
oracle-corr	water@100.0C	rho_liq_mol_m3	ok	5.3196677148e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	water@100.0C	dhvap_kj_mol	ok	4.0649721827e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	water	tboil_c	ok	9.9974295848e+01	chemicals.Tb (experimental normal boiling point)
oracle-corr	water	tcrit_k	ok	6.4709600000e+02	chemicals.Tc (experimental)
oracle-corr	water	pcrit_kpa	ok	2.2064000000e+04	chemicals.Pc (experimental)
oracle-corr	methanol@25.0C	psat_kpa	ok	1.6981497124e+01	thermo.VaporPressure method=HEOS_FIT
oracle-corr	methanol@25.0C	rho_liq_mol_m3	ok	2.4540340077e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	methanol@25.0C	dhvap_kj_mol	ok	3.7457193574e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	methanol@40.0C	psat_kpa	ok	3.5518028244e+01	thermo.VaporPressure method=HEOS_FIT
oracle-corr	methanol@40.0C	rho_liq_mol_m3	ok	2.4098573804e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	methanol@40.0C	dhvap_kj_mol	ok	3.6689338024e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	methanol@64.7C	psat_kpa	ok	1.0219682934e+02	thermo.VaporPressure method=HEOS_FIT
oracle-corr	methanol@64.7C	rho_liq_mol_m3	ok	2.3348922430e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	methanol@64.7C	dhvap_kj_mol	ok	3.5267134804e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	methanol	tboil_c	ok	6.4482383296e+01	chemicals.Tb (experimental normal boiling point)
oracle-corr	methanol	tcrit_k	ok	5.1338000000e+02	chemicals.Tc (experimental)
oracle-corr	methanol	pcrit_kpa	ok	8.2158500000e+03	chemicals.Pc (experimental)
oracle-corr	ethanol@25.0C	psat_kpa	ok	7.8853862992e+00	thermo.VaporPressure method=HEOS_FIT
oracle-corr	ethanol@25.0C	rho_liq_mol_m3	ok	1.7042745369e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	ethanol@25.0C	dhvap_kj_mol	ok	4.2413437042e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	ethanol@50.0C	psat_kpa	ok	2.9408513241e+01	thermo.VaporPressure method=HEOS_FIT
oracle-corr	ethanol@50.0C	rho_liq_mol_m3	ok	1.6566428263e+04	thermo.VolumeLiquid method=HEOS_FIT
